Team,Division,Season,Miles,B2B_Games
Anaheim,Pacific,2010-2011,47838,15
Anaheim,Pacific,2013-2014,48568,14
Anaheim,Pacific,2011-2012,50296,13
Anaheim,Pacific,2014-2015,49818,13
Arizona,Pacific,2011-2012,49192,13
Arizona,Pacific,2013-2014,52633,12
Arizona,Pacific,2010-2011,53843,16
Arizona,Pacific,2014-2015,46967,13
Boston,Atlantic,2011-2012,33770,13
Boston,Atlantic,2010-2011,35673,14
Boston,Atlantic,2013-2014,42389,17
Boston,Atlantic,2014-2015,38938,16
Buffalo,Atlantic,2010-2011,30347,22
Buffalo,Atlantic,2013-2014,34812,13
Buffalo,Atlantic,2011-2012,35911,21
Buffalo,Atlantic,2014-2015,37022,19
Calgary,Pacific,2010-2011,48004,13
Calgary,Pacific,2013-2014,48970,12
Calgary,Pacific,2011-2012,49104,10
Calgary,Pacific,2014-2015,38874,10
Carolina,Metropolitan,2011-2012,38114,16
Carolina,Metropolitan,2013-2014,38879,20
Carolina,Metropolitan,2010-2011,40874,21
Carolina,Metropolitan,2014-2015,40800,16
Chicago,Central,2013-2014,38680,18
Chicago,Central,2011-2012,39288,17
Chicago,Central,2010-2011,40498,18
Chicago,Central,2014-2015,40074,15
Colorado,Central,2010-2011,44190,14
Colorado,Central,2011-2012,48945,10
Colorado,Central,2013-2014,49007,10
Colorado,Central,2014-2015,44167,12
Columbus,Metropolitan,2013-2014,36597,17
Columbus,Metropolitan,2011-2012,42831,16
Columbus,Metropolitan,2010-2011,44600,18
Columbus,Metropolitan,2014-2015,35139,19
Dallas,Central,2010-2011,46244,12
Dallas,Central,2013-2014,46660,13
Dallas,Central,2011-2012,49622,14
Dallas,Central,2014-2015,48216,12
Detroit,Atlantic,2013-2014,35324,15
Detroit,Atlantic,2010-2011,39793,14
Detroit,Atlantic,2011-2012,42865,14
Detroit,Atlantic,2014-2015,34179,12
Edmonton,Pacific,2013-2014,45192,12
Edmonton,Pacific,2011-2012,50006,12
Edmonton,Pacific,2010-2011,50309,11
Edmonton,Pacific,2014-2015,45597,11
Florida,Atlantic,2010-2011,43144,15
Florida,Atlantic,2013-2014,45136,14
Florida,Atlantic,2011-2012,52751,14
Florida,Atlantic,2014-2015,42786,12
Los Angeles,Pacific,2010-2011,40430,13
Los Angeles,Pacific,2013-2014,48432,14
Los Angeles,Pacific,2011-2012,55591,15
Los Angeles,Pacific,2014-2015,44100,9
Minnesota,Central,2011-2012,42860,11
Minnesota,Central,2013-2014,44273,13
Minnesota,Central,2010-2011,50805,19
Minnesota,Central,2014-2015,41178,13
Montreal,Atlantic,2010-2011,33224,16
Montreal,Atlantic,2011-2012,39174,13
Montreal,Atlantic,2013-2014,39327,17
Montreal,Atlantic,2014-2015,37135,16
Nashville,Central,2011-2012,39534,11
Nashville,Central,2013-2014,39810,15
Nashville,Central,2010-2011,42379,13
Nashville,Central,2014-2015,42096,11
New Jersey,Metropolitan,2010-2011,27152,20
New Jersey,Metropolitan,2011-2012,28597,15
New Jersey,Metropolitan,2013-2014,33151,22
New Jersey,Metropolitan,2014-2015,33597,18
NY Islanders,Metropolitan,2010-2011,28210,20
NY Islanders,Metropolitan,2013-2014,29933,18
NY Islanders,Metropolitan,2011-2012,32410,13
NY Islanders,Metropolitan,2014-2015,33214,16
NY Rangers,Metropolitan,2010-2011,29355,18
NY Rangers,Metropolitan,2013-2014,29839,13
NY Rangers,Metropolitan,2011-2012,36385,14
NY Rangers,Metropolitan,2014-2015,36113,13
Ottawa,Atlantic,2010-2011,32157,16
Ottawa,Atlantic,2011-2012,33915,17
Ottawa,Atlantic,2013-2014,34850,16
Ottawa,Atlantic,2014-2015,33421,13
Philadelphia,Metropolitan,2010-2011,29973,16
Philadelphia,Metropolitan,2011-2012,34193,13
Philadelphia,Metropolitan,2013-2014,34929,14
Philadelphia,Metropolitan,2014-2015,31272,14
Pittsburgh,Metropolitan,2010-2011,28948,17
Pittsburgh,Metropolitan,2011-2012,33439,15
Pittsburgh,Metropolitan,2013-2014,37061,17
Pittsburgh,Metropolitan,2014-2015,32444,17
San Jose,Pacific,2011-2012,43994,14
San Jose,Pacific,2010-2011,56254,14
San Jose,Pacific,2013-2014,57612,10
San Jose,Pacific,2014-2015,45318,11
St. Louis,Central,2011-2012,38781,17
St. Louis,Central,2013-2014,39328,13
St. Louis,Central,2010-2011,41473,17
St. Louis,Central,2014-2015,38965,14
Tampa Bay,Atlantic,2010-2011,40522,17
Tampa Bay,Atlantic,2013-2014,43102,12
Tampa Bay,Atlantic,2011-2012,43717,10
Tampa Bay,Atlantic,2014-2015,37221,12
Toronto,Atlantic,2011-2012,32239,17
Toronto,Atlantic,2010-2011,33470,14
Toronto,Atlantic,2013-2014,35975,16
Toronto,Atlantic,2014-2015,34020,18
Vancouver,Pacific,2011-2012,46826,11
Vancouver,Pacific,2013-2014,48510,17
Vancouver,Pacific,2010-2011,51213,11
Vancouver,Pacific,2014-2015,45173,12
Washington,Metropolitan,2010-2011,32401,15
Washington,Metropolitan,2013-2014,36250,17
Washington,Metropolitan,2011-2012,37969,13
Washington,Metropolitan,2014-2015,36487,16
Winnipeg,Central,2010-2011,44079,15
Winnipeg,Central,2011-2012,44627,13
Winnipeg,Central,2013-2014,46477,10
Winnipeg,Central,2014-2015,42027,9
